PersonID,Age,Sex,RuralStatus
10266987,Between 30 and 34 years old,Female,Small metro
10268383,12 or 13 years old,Female,Large Metro
10268835,Between 35 and 49 years old,Female,Large Metro
10270827,Between 35 and 49 years old,Male,Large Metro
10270980,65 years old or older,Male,Small metro
10271042,Between 18 and 20 years old,Male,Large Metro
10272128,16 or 17 years old,Male,Large Metro
10272218,Between 30 and 34 years old,Female,Large Metro
10272374,Between 35 and 49 years old,Female,Large Metro
10274187,Between 18 and 20 years old,Female,Small metro
10275724,Between 50 and 64 years old,Female,Small metro
10277124,Between 35 and 49 years old,Female,Large Metro
10278749,Between 21 and 23 years old,Male,Large Metro
10279360,Between 35 and 49 years old,Female,Small metro
10281589,Between 35 and 49 years old,Male,Small metro
10283069,Between 30 and 34 years old,Male,Nonmetro
10283161,Between 21 and 23 years old,Female,Large Metro
10284006,Between 35 and 49 years old,Female,Large Metro
10285115,Between 21 and 23 years old,Female,Small metro
10285310,Between 30 and 34 years old,Female,Nonmetro
10286837,Between 30 and 34 years old,Male,Nonmetro
10287430,24 or 25 years old,Male,Small metro
10288484,Between 35 and 49 years old,Male,Large Metro
10288645,Between 18 and 20 years old,Male,Large Metro
10289364,12 or 13 years old,Female,Small metro
10290903,Between 35 and 49 years old,Female,Nonmetro
10291558,65 years old or older,Male,Small metro
10292136,14 or 15 years old,Male,Large Metro
10292659,Between 35 and 49 years old,Female,Small metro
10292829,Between 30 and 34 years old,Female,Small metro
10292851,Between 50 and 64 years old,Female,Large Metro
10293097,14 or 15 years old,Female,Large Metro
10293953,Between 18 and 20 years old,Female,Small metro
10294752,Between 50 and 64 years old,Female,Small metro
10295201,Between 30 and 34 years old,Male,Nonmetro
10296210,65 years old or older,Female,Large Metro
10296958,65 years old or older,Female,Large Metro
10297206,Between 30 and 34 years old,Female,Nonmetro
10298492,Between 35 and 49 years old,Male,Small metro
10299678,Between 26 and 29 years old,Male,Large Metro
10299696,Between 18 and 20 years old,Male,Large Metro
10300165,Between 18 and 20 years old,Female,Large Metro
10300239,16 or 17 years old,Male,Small metro
10300699,16 or 17 years old,Female,Small metro
10301635,Between 35 and 49 years old,Male,Small metro
10302358,Between 50 and 64 years old,Female,Large Metro
10303217,Between 21 and 23 years old,Female,Large Metro
10304163,14 or 15 years old,Male,Small metro
10304516,Between 21 and 23 years old,Female,Large Metro
10304974,14 or 15 years old,Female,Large Metro
10305573,Between 35 and 49 years old,Female,Large Metro
10305887,Between 30 and 34 years old,Female,Small metro
10306542,12 or 13 years old,Male,Small metro
10308123,Between 18 and 20 years old,Female,Large Metro
10309710,65 years old or older,Male,Small metro
10310828,Between 21 and 23 years old,Male,Small metro
10312181,14 or 15 years old,Male,Large Metro
10312551,24 or 25 years old,Female,Small metro
10312887,16 or 17 years old,Male,Large Metro
10312988,Between 35 and 49 years old,Female,Large Metro
10313042,Between 21 and 23 years old,Female,Nonmetro
10313190,Between 50 and 64 years old,Female,Small metro
10313509,65 years old or older,Male,Nonmetro
10314183,65 years old or older,Female,Large Metro
10314538,Between 35 and 49 years old,Male,Small metro
10315002,14 or 15 years old,Male,Small metro
10315218,Between 35 and 49 years old,Female,Large Metro
10315563,14 or 15 years old,Female,Small metro
10315632,65 years old or older,Female,Large Metro
10315929,Between 18 and 20 years old,Male,Large Metro
10316213,Between 18 and 20 years old,Female,Small metro
10316547,24 or 25 years old,Female,Large Metro
10319375,65 years old or older,Male,Nonmetro
10320656,Between 26 and 29 years old,Male,Large Metro
10322692,Between 21 and 23 years old,Female,Large Metro
10324362,Between 35 and 49 years old,Female,Large Metro
10324916,Between 21 and 23 years old,Female,Small metro
10325410,Between 18 and 20 years old,Female,Large Metro
10325758,Between 30 and 34 years old,Male,Small metro
10326054,Between 35 and 49 years old,Male,Large Metro
10326399,Between 30 and 34 years old,Male,Large Metro
10326827,Between 21 and 23 years old,Female,Large Metro
10327138,Between 30 and 34 years old,Female,Large Metro
10327191,Between 30 and 34 years old,Female,Small metro
10327246,Between 26 and 29 years old,Female,Nonmetro
10329556,Between 35 and 49 years old,Male,Large Metro
10330361,Between 30 and 34 years old,Female,Large Metro
10330572,12 or 13 years old,Female,Large Metro
10330619,12 or 13 years old,Male,Nonmetro
